system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,26.29694314932351,2000-04,1,0.549,0.0,1865.0281920326393,75.3149219343464,0.2592742655880901,1004.6060020616313,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,18.06719903893827,2000-08,77,0.51961,0.0,3114.596773613755,85.4659582664047,0.3585089890249005,862.7008438193733,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,24.814011869795365,2000-07,89,0.6552850000000001,22.0,1746.8792020571868,76.94827486254412,0.4101891613180301,1004.6699603949656,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,14.310654825026461,2000-06,107,0.4539600000000001,6.5,553.8212179434936,53.145792681014335,0.19746302863504941,763.2275480543461,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,12.63745261610967,2000-12,121,0.6994100000000001,9.5,1392.1764164460342,75.38497823335305,0.37222075332057925,995.5823419978792,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-9999.0,2000-01,128,0.693705,0.0,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,9.020619542481313,2000-01,129,0.754225,0.0,1623.4425722850006,82.51430130358743,0.38847578809560995,993.7055967793007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,18.06719903893827,2000-08,147,0.51961,0.0,3114.596773613755,85.4659582664047,0.3585089890249005,862.7008438193733,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,25.667523047789302,2000-07,150,0.53871,27.5,856.1421155226867,65.9464720601741,0.22019865908040806,989.8525412237447,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,18.06719903893827,2000-08,153,0.51961,0.0,3114.596773613755,85.4659582664047,0.3585089890249005,862.7008438193733,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,23.629661239388042,2000-09,160,0.67883,0.0,4163.110320199792,89.67313219157928,0.4715602228550314,972.1516179541636,"{""type"":""MultiPoint"",""coordinates"":[]}"
