beetle_id,taxon_id,family,genus,specific_epithet,scientific_name,scientific_name_authorship
1,,Cerambycidae,Macrodontia,cervicornis,"Macrodontia cervicornis (Linnaeus, 1758)",
2,76150,Carabidae,Apenes,portoricensis,"Apenes portoricensis Darlington, 1939",
3,78961,Carabidae,Selenophorus,discopunctatus,"Selenophorus discopunctatus Dejean, 1829",
4,101582,Carabidae,Discoderus,beauvoisii,"Discoderus beauvoisii (Dejean, 1829)",
5,109623,Carabidae,Selenophorus,propinquus,"Selenophorus propinquus Putzeys, 1874",
6,76896,Carabidae,Calosoma,alternans,"Calosoma alternans (Fabricius, 1792)",
7,89049,Carabidae,Paratachys,,"Paratachys Casey, 1918",
8,78035,Carabidae,Micratopus,,"Micratopus Casey, 1914",
9,78984,Carabidae,Selenophorus,parumpunctatus,"Selenophorus parumpunctatus Dejean, 1829",
10,76238,Carabidae,Axinopalpus,,"Axinopalpus LeConte, 1846",
11,78952,Carabidae,Selenophorus,integer,"Selenophorus integer (Fabricius, 1798)",
12,78382,Carabidae,Tachys,,"Tachys Dejean, 1821",
13,127972,Carabidae,Amblygnathus,puncticollis,"Amblygnathus puncticollis (Putzeys, 1878)",
14,134960,Carabidae,Selenophorus,fabricii,"Selenophorus fabricii Shpeley & Hunting & Ball, 2017",
15,78037,Carabidae,Micratopus,insularis,"Micratopus insularis Darlington, 1934",
16,150756,Carabidae,Micratopus,anaisae,"Micratopus anaisae Lemaire, 2021",
17,78540,Carabidae,Pseudaptinus,dorsalis,"Pseudaptinus dorsalis (Brullé, 1834)",
18,78994,Carabidae,Athrostictus,paganus,"Athrostictus paganus (Dejean, 1831)",
19,135164,Carabidae,Tetragonoderus,quadriguttatus,"Tetragonoderus quadriguttatus Dejean, 1829",
20,127975,Carabidae,,,Carabidae,
21,76144,Carabidae,Apenes,marginalis,"Apenes marginalis (Dejean, 1831)",
22,78946,Carabidae,Selenophorus,,"Selenophorus Dejean, 1829",
23,JW6,Melolonthidae,,,Melolonthinae,
24,K9Y,Rutelidae,,,Rutelidae,
25,C2L,,,,Coleoptera,
26,DDHPZ,Anobiidae,,,Anobiidae,
27,PXJ9,Cerambycidae,Calocomus,morosus,"Calocomus morosus White, 1850",
28,KVRTK,Ptilodactylidae,,,Ptilodactylidae,
29,KVRT6,Ptilodactylidae,Ptilodactyla,,"Ptilodactyla Illiger, 1807",
30,DDL2V,Chrysomelidae,Chalcophana,,"Chalcophana Chevrolat, 1836",
31,9JJ,Dytiscidae,,,Dytiscidae,
32,KV76N,Elateridae,,,Elateridae,
33,87S,Chrysomelidae,,,Chrysomelidae,
34,8HBQ5,Curculionidae,,,Curculionidae,
35,8RYQ6,Aphodiidae,,,Aphodiidae,
36,YFV,Scarabaeidae,Aphodius,,"Aphodius Illiger, 1798",
37,7NLQQ,Dynastidae,,,Dynastidae,
38,KVJF4,Lycidae,,,Lycidae,
39,626BW,Passalidae,,,Passalidae,
40,6278C,Scarabaeidae,,,Scarabaeidae,
41,BRN,Lampyridae,,,Lampyridae,
42,8KTL7,Carabidae,,,Carabidae,
43,BJ5MR,Cerambycidae,,,Cerambycidae,
44,KVMJY,Ptinidae,,,Ptinidae,
45,C3M4L,Scarabaeidae,Gromphas,,"Gromphas Brullé, 1837",
46,VKR,Scarabaeidae,Ancognatha,,"Ancognatha Erichson, 1847",
47,KVV3T,Tenebrionidae,,,Tenebrionidae,
48,CH7,Megalopodidae,,,Megalopodidae,
49,6273Z,Bruchidae,,,Bruchidae,
50,,Cantharidae,Chauliognathus,flavolineatus,"Chauliognathus flavolineatus Pic, 1947",
51,74ZBQ,Scarabaeidae,Oryctomorphus,bimaculatus,"Oryctomorphus bimaculatus Guérin-Méneville, 1830",
52,KV76Z,Erotylidae,,,Erotylidae,
53,KVBRG,Heteroceridae,,,Heteroceridae,
54,KVJRB,Nitidulidae,,,Nitidulidae,
55,9J9HN,Staphylinidae,,,Staphylinidae,
56,C9GBZ,Coccinellidae,,,Coccinellidae,
57,,Carabidae,Calosoma,argentinense,"Calosoma argentinense Csiki, 1927",
58,KTYMT,Anthicidae,,,Anthicidae,
59,KV777,Eucnemidae,,,Eucnemidae,
60,KVKJ3,Oedemeridae,,,Oedemeridae,
61,8KVFX,Carabidae,Calosoma,,"Calosoma Weber, 1801",
62,37MF,Chrysomelidae,Baliosus,,"Baliosus Weise, 1905",
63,,Carabidae,Calosoma,vagans,"Calosoma vagans Dejean, 1831",
64,3447,Scarabaeidae,Aspidolea,,"Aspidolea Bates, 1888",
65,440146,Scarabaeidae,Oxysternon,festivum,"Oxysternon festivum (Linnaeus, 1758)",
66,754644,Scarabaeidae,Coprophanaeus,dardanus,"Coprophanaeus dardanus (MacLeay, 1819)",
67,754648,Scarabaeidae,Coprophanaeus,parvulus,"Coprophanaeus parvulus (Olsoufieff, 1924)",
68,440153,Scarabaeidae,Coprophanaeus,jasius,"Coprophanaeus jasius (Olivier, 1789)",
69,754647,Scarabaeidae,Coprophanaeus,lancifer,"Coprophanaeus lancifer (Linnaeus, 1767)",
70,754663,Scarabaeidae,Oxysternon,spiniferum,"Oxysternon spiniferum Castelnau, 1840",
71,440143,Scarabaeidae,Oxysternon,silenus,"Oxysternon silenus Laporte, 1840",
72,820622,Scarabaeidae,Dendropaemon,attalus,"Dendropaemon attalus Génier & Arnaud, 2016",
73,754666,Scarabaeidae,Phanaeus,bispinus,"Phanaeus bispinus Bates, 1868",
74,820618,Scarabaeidae,Dendropaemon,fredericki,"Dendropaemon fredericki (Klages, 1906)",
75,754668,Scarabaeidae,Phanaeus,chalcomelas,"Phanaeus chalcomelas (Perty, 1830)",
76,754645,Scarabaeidae,Coprophanaeus,christophorowi,"Coprophanaeus christophorowi (Olsoufieff, 1924)",
77,754662,Scarabaeidae,Oxysternon,durantoni,"Oxysternon durantoni Arnaud, 1984",
78,754656,Scarabaeidae,Dendropaemon,telephus,"Dendropaemon telephus Waterhouse, 1891",
79,754667,Scarabaeidae,Phanaeus,cambeforti,"Phanaeus cambeforti Arnaud, 1982",
80,440125,Scarabaeidae,Sulcophanaeus,faunus,"Sulcophanaeus faunus (Fabricius, 1775)",
81,15395,Curculionidae,Polydacrys,depressifrons,"Polydacrys depressifrons Boheman, 1840",
82,483599,Curculionidae,Colecerus,setosus,"Colecerus setosus Boheman, 1840",
83,1445161,Curculionidae,Polydrusus,acuminatus,"Polydrusus acuminatus Champion, 1911",
84,13685,Curculionidae,Mitostylus,setosus,"Mitostylus setosus (Sharp, 1911)",
85,487455,Curculionidae,Exophthalmus,sulcicrus,"Exophthalmus sulcicrus Champion, 1911",
86,32083,Dryophthoridae,Sphenophorus,phoeniciensis,"Sphenophorus phoeniciensis Chittenden, 1904",
87,776605,Dryophthoridae,Cactophagus,validirostris,"Cactophagus validirostris G.C.Champion, 1910",
88,29856,Dryophthoridae,Orthognathus,subparallelus,"Orthognathus subparallelus G.C.Champion, 1910",
89,484367,Curculionidae,Polydacrys,nigrofasciatus,"Polydacrys nigrofasciatus Champion, 1911",
90,484453,Curculionidae,Eumestorus,luctuosus,"Eumestorus luctuosus Chevrolat, 1880",
91,496665,Anthribidae,Strabus,,"Strabus Jekel, 1860",
92,1166794,Anthribidae,Eugonus,particolor,"Eugonus particolor Jordan, 1904",
93,1409579,Curculionidae,Paululusus,hispaniolae,"Paululusus hispaniolae Howden, 1970",
94,1561457,Anthribidae,Systaltocerus,platyrhinus,"Systaltocerus platyrhinus Imhoff, 1842",
95,281952,Brentidae,Brentus,anchorago,"Brentus anchorago (Linnaeus, 1758)",
96,1521371,Curculionidae,Scalaventer,caymani,"Scalaventer caymani Howden, 1970",
97,16714,Curculionidae,Tanymecus,confusus,"Tanymecus confusus Say, 1831",
98,1313790,Anthribidae,Meconemus,tuberculatus,"Meconemus tuberculatus Labram & Imhoff, 1838",
99,1418569,Anthribidae,Phaenithon,semigriseus,"Phaenithon semigriseus (E.F.Germar, 1823)",
100,1470956,Anthribidae,Ptychoderes,nebulosus,"Ptychoderes nebulosus (A.G.Olivier, 1800)",
101,496813,Anthribidae,Meconemus,championi,"Meconemus championi (Jordan, 1906) , 2004",
102,995789,Curculionidae,Anypotactus,exilis,"Anypotactus exilis Boheman, 1840",
103,1444439,Curculionidae,Polydacrys,scansorius,"Polydacrys scansorius (Klug, 1829)",
104,1512571,Curculionidae,Rhyssomatus,morio,"Rhyssomatus morio Rosensch., 1837",
105,486147,Curculionidae,Phacepholis,,"Phacepholis Horn, 1876",
106,496663,Anthribidae,Nemotrichus,inermis,"Nemotrichus inermis Jordan, 1906",
107,1374713,Attelabidae,Omolabus,callosus,"Omolabus callosus Legalov, 2007",
108,1237724,Curculionidae,Isodrusus,debilis,"Isodrusus debilis Sharp, 1911",
109,50244,Anthribidae,Neoxenus,versicolor,"Neoxenus versicolor Valentine, 1998",
110,14258,Curculionidae,Notolomus,basalis,"Notolomus basalis LeConte, 1876",
111,1637896,Belidae,Parallocorynus,salasae,"Parallocorynus salasae Tang & O'Brien, 2015",
112,,Curculionidae,Stenotrupis,,"Stenotrupis T.V.Wollaston, 1873",
113,,Curculionidae,Heptarthrum,,"Heptarthrum G.C.Champion, 1909",
114,481868,Curculionidae,,,Curculionidae,
115,484091,Curculionidae,Caulophilus,,"Caulophilus T.V.Wollaston, 1854",
116,487344,Anthribidae,Meconemus,,"Meconemus D.Labram & L.Imhoff, 1838",
117,32194,Anthribidae,Stenocerus,,"Stenocerus C.J.Schoenherr, 1826",
118,26754,Anthribidae,Euparius,,"Euparius C.J.Schoenherr, 1823",
119,54926,Anthribidae,Stenocerus,longulus,"Stenocerus longulus Jekel, 1855",
120,4682,Curculionidae,Acalles,,"Acalles C.J.Schoenherr, 1825",
121,496662,Anthribidae,Nemotrichus,,"Nemotrichus D.Labram & L.Imhoff, 1838",
122,496817,Anthribidae,Gymnognathus,femoralis,"Gymnognathus femoralis Jordan, 1897",
123,594015,Belidae,Parallocorynus,norstogi,"Parallocorynus norstogi O'Brien & Tang, 2015",
124,497542,Anthribidae,Homocloeus,femoralis,"Homocloeus femoralis Jordan, 1904",
125,1452854,Curculionidae,Promecops,tridentatus,"Promecops tridentatus Champion, 1911",
126,1365892,Curculionidae,Nototactus,latirostris,"Nototactus latirostris Kuschel, 1952",
127,1227739,Curculionidae,Hyphantus,argentinensis,"Hyphantus argentinensis Hustache, 1926",
128,610467,Dryophthoridae,Metamasius,hemipterus,"Metamasius hemipterus (Linnaeus, 1758)",
129,1446926,Curculionidae,Polyteles,guerini,"Polyteles guerini Fåhraeus, 1840",
130,1227775,Curculionidae,Hyphantus,sulcifrons,"Hyphantus sulcifrons Boheman, 1842",
131,752913,Curculionidae,Apotomoderes,menocrater,"Apotomoderes menocrater Franz, 2010",
132,274441,Curculionidae,Apotomoderes,sotomayorae,"Apotomoderes sotomayorae Franz, 2010",
133,5347,Curculionidae,Epicaerus,,"Epicaerus Schoenherr, 1834",
134,645993,Curculionidae,Artipus,porosicollis,"Artipus porosicollis Chevrolat, 1880",
135,607100,Curculionidae,Eudiagogus,episcopalis,"Eudiagogus episcopalis (Gyllenhal, 1834)",
136,800275,Curculionidae,Claeoteges,virosa,"Claeoteges virosa Pascoe, 1880",
137,15019,Curculionidae,Peltophorus,polymitus,"Peltophorus polymitus Boheman, 1845",
138,1307436,Curculionidae,Macrostylus,nebulosus,"Macrostylus nebulosus Champion, 1911",
139,1507998,Dryophthoridae,Rhodobaenus,pulchellus,"Rhodobaenus pulchellus G.C.Champion, 1910",
140,1507923,Dryophthoridae,Rhodobaenus,auctus,"Rhodobaenus auctus Vaurie, 1981",
141,484389,Curculionidae,Colecerus,variegatus,"Colecerus variegatus Boheman, 1845",
142,1396477,Curculionidae,Pandeleteinus,subcancer,"Pandeleteinus subcancer Howden, 1969",
143,1323425,Dryophthoridae,Mesocordylus,pustulosus,"Mesocordylus pustulosus Champion, 1910",
144,1209079,Curculionidae,Helleriella,nelsoni,"Helleriella nelsoni Hespenheide, 1980",
145,482377,Curculionidae,Archocopturus,medeterae,"Archocopturus medeterae Hespenheide, 2005",
146,26714,Anthribidae,Eugonus,,"Eugonus C.J.Schoenherr, 1833",
147,482387,Curculionidae,Macrocopturus,,"Macrocopturus K.M.Heller, 1895",
148,1470950,Anthribidae,Ptychoderes,depressus,"Ptychoderes depressus Jekel, 1855",
149,935727,Anthribidae,Monocloeus,,"Monocloeus K.Jordan, 1904",
150,27164,Anthribidae,Gymnognathus,,"Gymnognathus C.J.Schoenherr, 1826",
151,497711,Anthribidae,Ptychoderes,rugicollis,"Ptychoderes rugicollis Jordan, 1895",
152,1512510,Curculionidae,Rhyssomatus,biseriatus,"Rhyssomatus biseriatus Champion, 1902-06",
153,496812,Anthribidae,Meconemus,metallicus,"Meconemus metallicus Wolfrum, 1953",
154,497541,Anthribidae,Homocloeus,,"Homocloeus K.Jordan, 1904",
155,655228,Curculionidae,Trichodocerus,brevilineatus,"Trichodocerus brevilineatus Champion, 1906",
156,1399715,Curculionidae,Paradacrys,ensformis,"Paradacrys ensformis Howden, 1970",
157,1637894,Belidae,Parallocorynus,perezfarrerai,"Parallocorynus perezfarrerai Tang & O'Brien, 2015",
158,1153240,Curculionidae,Epicaerus,inaequalis,"Epicaerus inaequalis (Sharp, 1891)",
159,26224,Anthribidae,Discotenes,,"Discotenes D.Labram & L.Imhoff, 1841",
160,484456,Curculionidae,Lachnopus,,"Lachnopus Schoenherr, 1840",
161,931127,Anthribidae,Lagopezus,,"Lagopezus Dejean & P.F.M.A., 1834",
162,484394,Curculionidae,Eucoleocerus,guttularius,"Eucoleocerus guttularius Champion, 1911",
163,809066,Curculionidae,Conotrachelus,albopictus,"Conotrachelus albopictus Champion, 1902-06",
164,15602,Attelabidae,Pterocolus,,"Pterocolus Say & T., 1831",
165,482447,Curculionidae,Apotomoderes,chariedris,"Apotomoderes chariedris Franz, 2010",
166,752910,Curculionidae,Apotomoderes,anodontos,"Apotomoderes anodontos Franz, 2010",
167,1452804,Curculionidae,Promecops,bolivianus,"Promecops bolivianus Voss, 1934",
168,1452818,Curculionidae,Promecops,curvirostris,"Promecops curvirostris Voss, 1934",
169,1636625,Curculionidae,Apodrosus,alberti,"Apodrosus alberti Anderson, 2017",
170,1377916,Curculionidae,Ophryastes,mexicanus,"Ophryastes mexicanus (Sharp, 1891)",
171,484434,Curculionidae,Claeoteges,granulosa,"Claeoteges granulosa Champion, 1911",
172,,Dryophthoridae,Metamasius,,"Metamasius G.H.Horn, 1873",
173,,Curculionidae,Peltophorus,polymitus,"Peltophorus polymitus Boheman, 1845",
