scientific_name,family,genus,specific_epithet,country,location,notes,event_date,verbatim_event_date,basis_of_record,dataset_name,institution_code,image_available,image_url,media_references,media_creator,media_publisher,media_rights_holder,media_license,latitude,longitude,coordinate_uncertainty,region,city,verbatim_locality,elevation,temperature,precipitation,soil_moisture,ndvi,relative_humidity,surface_pressure_hpa,nighttime_lights,slope,distance_to_water_m,human_modification,landcover_class,ecoregion_id,biome_id,soil_ph,soil_organic_carbon,worldclim_bio01,worldclim_bio12
Titanus giganteus,Cerambycidae,Titanus,giganteus,Peru,"Lamas Province, Peru",commonName=Titanenbockkäfer | Größter Käfer der Welt – bis 17 cm | source=frontend featured-beetles.js,2016-10-15,2016-10-15,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/21217801/original.jpg,,,,,,-6.425023,-76.459309,526.0,San Martín,nan,"Lamas Province, Peru",794,22.776973724365234,233.1212304379484,0.16857716,0.78885,86.36276827495763,932.2080389469926,0.8654731,5.40892,234.30749,0.706773,10.0,493.0,1.0,5.6,5.0,24.2,1509.0
Dynastes hercules,Scarabaeidae,Dynastes,hercules,MQ,"Martinique, , MQ",commonName=Herkuleskäfer | Längster Käfer – riesiges Brusthorn | source=frontend featured-beetles.js,2010-04-30,2010-04-30,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,0,,,,,,,14.72447,-61.04825,20.0,nan,Martinique,"Martinique, , MQ",411,26.097064971923828,64.68121890009115,0.2190945943196615,0.56855,75.63018413227131,995.1733953993052,38.0,7.198747,276.586334,0.466692,10.0,517.0,1.0,5.3,8.0,23.3,3187.0
Dynastes neptunus,Scarabaeidae,Dynastes,neptunus,Ecuador,"Chuchubi, Esmeraldas, Équateur",commonName=Neptunkäfer | Mächtige gebogene Hörner | source=frontend featured-beetles.js,2018-02-25T13:52,2018-02-25T13:52,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/18333703/original.jpeg,,,,,,0.880288,-78.516412,500.0,Esmeraldas,nan,"Chuchubi, Esmeraldas, Équateur",973,20.92146873474121,527.8417247786784,0.38766712,0.2803,89.64994935317658,915.2338877650672,0.25251302,10.592634,67.082039,0.133771,10.0,486.0,1.0,5.7,11.0,21.7,3199.0
Megasoma elephas,Scarabaeidae,Megasoma,elephas,Nicaragua,san juan del sur,commonName=Elefantenkäfer | Einer der schwersten Käfer | source=frontend featured-beetles.js,2014-10-20,2014-10-20,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/1291438/original.JPG,,,,,,11.252085,-85.868324,8.0,Rivas,nan,san juan del sur,50,26.308744430541992,443.9484122544144,0.4089323884697371,0.8532000000000001,86.01714182264234,999.767675046203,0.091305956,2.01087,30.0,0.547926,50.0,527.0,2.0,6.2,6.0,26.6,1439.0
Megasoma actaeon,Scarabaeidae,Megasoma,actaeon,Bolivia,"Vaca Diez, Bolivia",commonName=Actaeon-Käfer | Massiger Nashornkäfer | source=frontend featured-beetles.js,2017-04-06,2017-04-06,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/13962202/original.jpeg,,,,,,-11.529369,-66.290871,8.0,El Beni,nan,"Vaca Diez, Bolivia",169,25.737361907958984,141.54909649791136,0.35931447,0.777,87.6322588051369,992.6095504014756,0.16282527,0.372716,420.0,0.214208,30.0,565.0,7.0,5.0,2.0,26.3,1547.0
Megasoma mars,Scarabaeidae,Megasoma,mars,Brazil,Brazil--Boa Vista do Ramos,commonName=Mars-Käfer | Seltener Riesen-Nashornkäfer | source=frontend featured-beetles.js,2019-08-14T05:03,2019-08-14T05:03,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/111435542/original.jpeg,,,,,,-3.068963,-57.723236,61.0,Amazonas,nan,Brazil--Boa Vista do Ramos,7,26.729337692260742,108.09296188153183,0.21775734,0.5015000000000001,83.03078417600219,1011.037522051411,0.15298828,0.144995,0.0,0.097829,80.0,476.0,1.0,4.8,9.0,27.3,2192.0
Macrodontia cervicornis,Cerambycidae,Macrodontia,cervicornis,GF,"Guyane, , GF",commonName=Säbelzahn-Bockkäfer | Gewaltige gezackte Mandibeln | source=frontend featured-beetles.js,2018-09-15/2018-09-22,2018-09-15/2018-09-22,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,0,,,,,,,4.73766,-52.42279,20.0,nan,Guyane,"Guyane, , GF",56,25.203067779541016,51.87826610257673,0.22448058,0.7809,77.97332210942125,1006.1253998655916,0.2190332,2.072665,174.928557,0.11838,10.0,465.0,1.0,4.5,6.0,25.8,3625.0
Acrocinus longimanus,Cerambycidae,Acrocinus,longimanus,TT,"Asa Wright Nature Center, Trinidad and Tobago","commonName=Harlekinkäfer | Farbenprächtig, extrem lange Vorderbeine | source=frontend featured-beetles.js",2007-11-21T21:24,2007-11-21T21:24,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/4825644/original.jpg,,,,,,10.691963,-61.290493,495.0,Tunapuna/Piarco,nan,"Asa Wright Nature Center, Trinidad and Tobago",237,25.292638778686523,137.15675505540048,0.4752369774712456,0.8139500000000001,83.2756521526568,987.6216258680556,11.0,2.758342,330.0,0.466226,10.0,510.0,1.0,5.2,4.0,25.2,2260.0
Strategus aloeus,Scarabaeidae,Strategus,aloeus,Mexico,"ZACUALTIPAN DE ANGELES, Hidalgo, Mexico",commonName=Ochsenkäfer | Kräftiger dreihörniger Nashornkäfer | source=frontend featured-beetles.js,2003-08-30,2003-08-30,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,0,,,,,,,20.633528,-98.566806,80.0,Hidalgo,ZACUALTIPAN DE ANGELES,"ZACUALTIPAN DE ANGELES, Hidalgo, Mexico",1788,15.842155456542969,384.01762600568645,0.4059995015462238,0.60185,90.60988113658564,828.7975615776909,4.0,4.180197,201.246118,0.452112,10.0,327.0,3.0,5.5,7.0,15.2,1259.0
Enema pan,Scarabaeidae,Enema,pan,Argentina,"Puerto Iguazu, Misiones","commonName=Pan-Nashornkäfer | Glänzend schwarz, langes Horn | source=frontend featured-beetles.js",2009-09-21,2009-09-21,HUMAN_OBSERVATION,featured-beetles.js,BeetleAtlas Featured,1,https://inaturalist-open-data.s3.amazonaws.com/photos/1134269/original.JPG,,,,,,-25.623999,-54.548814,174.0,Misiones,nan,"Puerto Iguazu, Misiones",219,22.05650520324707,223.0446946813132,0.4483012941148545,0.7444000000000001,78.47346059623493,991.2062887369792,29.0,1.9924,30.0,0.412469,10.0,439.0,1.0,5.0,5.0,21.1,1727.0
