location_id,koppen_code,vegetation_zone,country_derived
1,Aw,Tropisches Grasland / Savanne,Venezuela
2,Aw,Tropischer Trockenwald,Puerto Rico
3,,Tropischer Trockenwald,Puerto Rico
4,,Tropischer Trockenwald,Puerto Rico
5,,Tropischer Regenwald,Puerto Rico
6,,Tropischer Trockenwald,Puerto Rico
7,,Tropischer Trockenwald,Puerto Rico
8,,Tropischer Trockenwald,Puerto Rico
9,,Tropischer Trockenwald,Puerto Rico
10,,Tropischer Trockenwald,Puerto Rico
11,Aw,Tropischer Trockenwald,Puerto Rico
12,,Tropischer Trockenwald,Puerto Rico
13,,Tropischer Regenwald,Puerto Rico
14,,Tropischer Trockenwald,Puerto Rico
15,,Tropischer Trockenwald,Puerto Rico
16,,Tropischer Trockenwald,Puerto Rico
17,,Tropischer Trockenwald,Puerto Rico
18,Aw,Tropischer Trockenwald,Puerto Rico
19,,Tropischer Regenwald,Puerto Rico
20,,Tropischer Trockenwald,Puerto Rico
21,,Tropischer Trockenwald,Puerto Rico
22,,Tropischer Trockenwald,Puerto Rico
23,,Tropischer Trockenwald,Puerto Rico
24,Aw,Tropischer Trockenwald,Puerto Rico
25,ET,Tropischer Regenwald,Peru
26,BWk,Wüste / Trockengebiete,Peru
27,Af,Tropischer Regenwald,French Guiana
28,BSk,Wüste / Trockengebiete,Peru
29,Csb,Gemäßigter Laubwald,Chile
30,BWk,Gebirgs-Grasland,Argentina
31,Aw,Tropischer Regenwald,Peru
32,BWk,Gebirgs-Grasland,Argentina
33,Cwb,Tropischer Regenwald,Colombia
34,Af,Tropischer Regenwald,French Guiana
35,BWk,Gebirgs-Grasland,Argentina
36,ET,Gebirgs-Grasland,Colombia
37,BWk,Mittelmeervegetation,Chile
38,Csb,Mittelmeervegetation,Chile
39,Cfb,Tropischer Regenwald,Colombia
40,Cwb,Tropischer Regenwald,Colombia
41,Aw,Tropischer Regenwald,Nicaragua
42,Cfb,Tropischer Regenwald,Colombia
43,Am,Tropischer Regenwald,Costa Rica
44,Cfb,Tropischer Regenwald,Colombia
45,Cfb,Tropischer Regenwald,Colombia
46,Af,Tropischer Regenwald,Nicaragua
47,Csb,Gemäßigter Laubwald,Chile
48,Am,Mangroven,French Guiana
49,Af,Tropischer Regenwald,French Guiana
50,Af,Tropischer Regenwald,French Guiana
51,Am,Tropischer Regenwald,French Guiana
52,Af,Tropischer Regenwald,French Guiana
53,Af,Tropischer Regenwald,French Guiana
54,Af,Tropischer Regenwald,French Guiana
55,Af,Tropischer Regenwald,French Guiana
56,Am,Mangroven,French Guiana
57,Am,Tropischer Regenwald,French Guiana
58,Af,Tropischer Regenwald,French Guiana
59,Af,Tropischer Regenwald,French Guiana
60,Am,Tropischer Regenwald,French Guiana
61,Am,Tropischer Regenwald,French Guiana
62,Af,Tropischer Regenwald,French Guiana
63,Am,,French Guiana
64,Af,Tropischer Regenwald,French Guiana
65,Af,Tropischer Regenwald,French Guiana
66,Af,Tropischer Regenwald,French Guiana
67,Am,Tropischer Regenwald,Guatemala
68,Am,Tropischer Regenwald,Panama
69,Aw,Tropischer Trockenwald,Mexico
70,Cwb,Tropischer Nadelwald,Mexico
71,Cwa,Tropischer Nadelwald,Mexico
72,Aw,Tropischer Trockenwald,Mexico
73,Aw,Tropischer Trockenwald,Mexico
74,Aw,Tropischer Nadelwald,Mexico
75,BSh,Wüste / Trockengebiete,Mexico
76,BSh,Wüste / Trockengebiete,Mexico
77,Af,Tropischer Regenwald,Panama
78,BSh,Tropischer Trockenwald,Mexico
79,Am,Tropischer Nadelwald,Guatemala
80,Aw,Tropischer Regenwald,Mexico
81,Cfb,Tropischer Regenwald,Guatemala
82,Cwa,Tropisches Grasland / Savanne,Argentina
83,Aw,Tropischer Trockenwald,Dominican Republic
84,Aw,Tropischer Trockenwald,Dominican Republic
85,Aw,Tropischer Trockenwald,Dominican Republic
86,Aw,Tropischer Trockenwald,Dominican Republic
87,Aw,Tropischer Trockenwald,Dominican Republic
88,Af,Tropischer Regenwald,Peru
89,Aw,Tropischer Trockenwald,Mexico
90,Aw,Mangroven,
91,Aw,Tropischer Trockenwald,
92,Aw,,
93,Cwb,Tropischer Nadelwald,Mexico
94,Cwa,Tropischer Regenwald,Mexico
95,Cfb,Tropischer Nadelwald,Mexico
96,Am,Tropischer Nadelwald,Guatemala
97,Aw,Wüste / Trockengebiete,Guatemala
98,Cwa,Tropisches Grasland / Savanne,Argentina
99,Am,Tropischer Nadelwald,Guatemala
100,Aw,Tropischer Trockenwald,Costa Rica
101,Af,Tropischer Regenwald,
102,Af,,
103,Aw,Tropischer Trockenwald,Mexico
104,Aw,Tropischer Trockenwald,Mexico
105,Af,Tropischer Regenwald,Costa Rica
106,Am,Tropischer Regenwald,Guatemala
107,Cwb,Tropischer Nadelwald,Mexico
108,Cwb,Tropischer Nadelwald,Mexico
109,Cfa,Wüste / Trockengebiete,Mexico
110,Am,Tropischer Regenwald,Mexico
111,Am,Tropischer Regenwald,
112,Aw,Tropischer Nadelwald,Mexico
113,Aw,Überschwemmtes Grasland,
114,Cfb,Tropischer Regenwald,Costa Rica
115,Cwb,,Costa Rica
116,Af,Tropischer Regenwald,Belize
117,Aw,Tropischer Regenwald,Bolivia
118,Cfb,Tropisches Grasland / Savanne,Bolivia
119,Am,,Bolivia
120,Af,Tropischer Regenwald,Costa Rica
121,Csb,Gemäßigter Laubwald,Chile
122,Cfb,Gemäßigter Laubwald,
123,Csb,Gemäßigter Laubwald,Chile
124,Am,Tropischer Regenwald,Ecuador
125,Af,Tropischer Regenwald,Mexico
126,Aw,Tropischer Regenwald,Mexico
127,Am,Tropischer Nadelwald,Guatemala
128,Cfb,Gemäßigter Laubwald,Chile
129,Cfb,Gemäßigter Laubwald,Chile
130,BWk,Gebirgs-Grasland,Chile
131,Cfa,Tropisches Grasland / Savanne,Uruguay
132,Af,,
133,Cfa,Tropisches Grasland / Savanne,Paraguay
134,Cfa,Tropisches Grasland / Savanne,Uruguay
135,Cfa,Tropisches Grasland / Savanne,Uruguay
136,BSh,Mangroven,Dominican Republic
137,Am,Tropischer Regenwald,Dominican Republic
138,Aw,Tropischer Trockenwald,Puerto Rico
139,Am,Tropischer Regenwald,Mexico
140,Cfa,Tropisches Grasland / Savanne,Brazil
141,Aw,Tropischer Nadelwald,
142,Aw,Tropischer Nadelwald,
143,Aw,,
144,Am,,Costa Rica
145,Cwb,Tropischer Trockenwald,Mexico
146,Am,Tropischer Regenwald,Panama
147,Af,Tropischer Regenwald,Panama
148,Cwa,Tropischer Nadelwald,Mexico
149,Cwb,Tropischer Nadelwald,Guatemala
150,Aw,Tropischer Trockenwald,Mexico
151,Aw,Tropischer Nadelwald,Mexico
152,Aw,Tropischer Trockenwald,Mexico
153,Af,Tropischer Regenwald,Panama
154,BSk,Wüste / Trockengebiete,Mexico
155,Cwa,Wüste / Trockengebiete,Mexico
156,Cfb,Tropischer Regenwald,Panama
157,Aw,Tropischer Regenwald,Mexico
158,Aw,Tropischer Trockenwald,Mexico
159,Cfb,Tropischer Regenwald,Honduras
160,Af,Tropischer Regenwald,Ecuador
161,Af,Tropischer Regenwald,French Guiana
162,Aw,Tropischer Trockenwald,Mexico
163,Cfb,Tropischer Regenwald,Guatemala
164,Af,Tropischer Regenwald,Peru
165,Aw,Mangroven,
166,Cwa,Tropischer Nadelwald,Mexico
167,Am,Tropischer Nadelwald,Guatemala
168,Af,Tropischer Regenwald,
169,Aw,Mangroven,Belize
170,Am,Tropischer Regenwald,Honduras
